year,Organization / Organisation,deleted_record_count
2026,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,14
2026,Government and Municipalities of Québec | Gouvernement et municipalités du Québec,11
2026,Global Affairs Canada | Affaires mondiales Canada,10
2026,Government of New Brunswick | Gouvernement du Nouveau-Brunswick,5
2026,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,4
2026,Government of Manitoba | Gouvernement du Manitoba,4
2026,Government of Ontario | Gouvernement de l'Ontario,4
2026,Government of Alberta | Gouvernement de l'Alberta,3
2026,Government of Yukon | Gouvernement du Yukon,3
2026,Indigenous Services Canada | Services aux Autochtones Canada,3
2026,Office of the Commissioner of Official Languages | Commissariat aux langues officielles,3
2026,Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,2
2026,Public Health Agency of Canada | Agence de la santé publique du Canada,2
2026,Health Canada | Santé Canada,1
2026,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",1
2025,Government and Municipalities of Québec | Gouvernement et municipalités du Québec,27
2025,Veterans Affairs Canada | Anciens Combattants Canada,14
2025,Government of Alberta | Gouvernement de l'Alberta,12
2025,Environment and Climate Change Canada | Environnement et Changement climatique Canada,4
2025,Global Affairs Canada | Affaires mondiales Canada,4
2025,Department of Justice Canada | Ministère de la Justice Canada,3
2025,Government of Manitoba | Gouvernement du Manitoba,3
2025,Government of Ontario | Gouvernement de l'Ontario,3
2025,Public Health Agency of Canada | Agence de la santé publique du Canada,2
2025,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,1
2025,Canada Revenue Agency | Agence du revenu du Canada,1
2025,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,1
2025,Fisheries and Oceans Canada | Pêches et Océans Canada,1
2025,Government of Nova Scotia | Gouvernment de la Nouvelle-Écosse,1
2025,Public Services and Procurement Canada | Services publics et Approvisionnement Canada,1
2025,Royal Canadian Mounted Police | Gendarmerie royale du Canada,1
2025,Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,1
